ID,Type,Message,Performed By,Occurred At
183461990,story_update_activity,s1a1d1f1 unestimated this feature,s1a1d1f1,2022-10-20T03:55:45Z
183461990,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Remove question from survey',s1a1d1f1,2022-10-20T03:55:39Z
183587037,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Remove memeber from team manually',s1a1d1f1,2022-10-20T03:55:38Z
183587040,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Adding student into the class',s1a1d1f1,2022-10-20T03:55:34Z
183587039,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Adding student into the class',s1a1d1f1,2022-10-20T03:55:32Z
183587033,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Fill up Survey',s1a1d1f1,2022-10-20T03:55:26Z
183587032,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Fill up Survey',s1a1d1f1,2022-10-20T03:55:25Z
183587031,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Fill up Survey',s1a1d1f1,2022-10-20T03:55:23Z
183587030,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Fill up Survey',s1a1d1f1,2022-10-20T03:55:21Z
183587029,story_move_activity,s1a1d1f1 moved this story before 'Copy of - Fill up Survey',s1a1d1f1,2022-10-20T03:55:19Z
183587040,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:55:14Z
183587039,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:55:12Z
183587038,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:55:09Z
183587037,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:55:05Z
183587035,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:57Z
183587034,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:55Z
183587033,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:51Z
183587032,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:49Z
183587031,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:46Z
183587030,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:43Z
183587029,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-20T03:54:38Z
183586698,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183437229,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183437243,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586730,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586750,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183467560,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586675,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586757,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586768,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586776,story_move_activity,s1a1d1f1 moved 10 stories,s1a1d1f1,2022-10-20T03:54:05Z
183586698,story_move_activity,s1a1d1f1 moved and scheduled this story before 'Adding student into the class',s1a1d1f1,2022-10-20T03:53:36Z
183586698,story_move_activity,s1a1d1f1 moved this story before 'Result Receiving',s1a1d1f1,2022-10-20T03:53:31Z
183586698,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183437229,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183437243,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586730,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586750,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183467560,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586675,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586757,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586768,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586776,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183366568,story_move_activity,s1a1d1f1 moved and scheduled 11 stories to the Backlog,s1a1d1f1,2022-10-20T03:53:27Z
183586698,story_move_activity,s1a1d1f1 moved 11 stories to the Icebox,s1a1d1f1,2022-10-20T03:53:24Z
183437229,story_move_activity,s1a1d1f1 moved 11 stories to the Icebox,s1a1d1f1,2022-10-20T03:53:24Z
183437243,story_move_activity,s1a1d1f1 moved 11 stories to the Icebox,s1a1d1f1,2022-10-20T03:53:24Z
183586730,story_move_activity,s1a1d1f1 moved 11 stories to the Icebox,s1a1d1f1,2022-10-20T03:53:24Z
